model,use_static_covariates,use_covariates,use_features,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,456.12239978134113,506.35799757913367,440.2988323875469,467.593076582674,28.161861280377195,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,414.2626311953353,452.40749791753433,439.89668549562685,435.52227153616553,15.876803570621082,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,558.8642331320283,518.7082944606415,467.7899701947105,515.1208325957934,37.267347230229376,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,397.60778685964175,419.0964067055394,423.77201855997504,413.4920707083854,11.392927384827493,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,414.7807778009164,440.89253592253226,543.703301488963,466.4588717374706,55.650591034749326,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,407.5248453769263,435.1874806070387,526.6638314764681,456.4587191534777,50.910861278521814,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,457.1523421230737,601.2308885620575,610.5460119481467,556.309747544426,70.21792823462933,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,524.2826651655561,463.8484339858392,459.0260794981258,482.385726216507,29.69095143503656,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,513.9326837775926,494.88311888275723,457.0829541076635,488.6329189226711,23.62585717022488,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,582.8856838296543,629.1610983704705,719.1465149937525,643.7310990646257,56.574241591932264,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,497.79663330383175,512.2471485839234,529.6828977509372,513.2422265462308,13.036515388476762,False,
tsmixer,False,True,False,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,595.4818217669721,549.7596566534777,504.01099789150356,549.7508254373178,37.34280799660562,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,507.4096549614745,450.4632460433153,455.4864681382757,471.1197897143552,25.74262262985111,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,457.79280521137025,465.5378636505622,536.7341062317785,486.68825836457034,35.52873624844573,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,619.1077150145774,487.43833493856727,459.7493993388171,522.0984830973206,69.52104044361371,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,394.04275575281133,481.4939965118701,466.40162614535615,447.31279280334587,38.16820270280833,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,636.8476465535194,494.806811484798,547.1275593502708,559.594005796196,58.65412132150519,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,500.323841498334,605.6574242503123,706.917825255102,604.2996970012495,84.34710466710388,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,455.3516685755935,593.990585563307,567.3900960537276,538.9107833975427,60.074901930329595,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,506.25002082465636,725.717999140983,511.07405078613084,581.0140235839234,102.34011342180177,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,475.57469413785924,572.8358514681383,700.7306665191587,583.0470707083855,92.20269238122937,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,686.2753134110787,480.9531041753436,811.2604633486046,659.496293645009,136.1704197093409,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,587.2823159620991,656.7244228967096,601.057682996668,615.0214739518256,30.019906143079744,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,556.0183221834652,575.0740496147439,598.0400115837152,576.377461127308,17.180022432874075,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,586.1386702155352,559.1340748646397,664.3995745262391,603.2241065354714,44.64034390125514,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,677.4869266711787,582.0968099229488,676.1290645824657,645.2376003921977,44.65072237694252,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,641.1940532590587,523.068065259267,460.44630583610996,541.5694747848119,74.94070396182777,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,502.64656770616403,487.6155173625572,588.8044089702207,526.3554980129807,44.582380513808246,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,469.2404731101625,485.0368859329446,650.0897210797584,534.7890267076218,81.7845513388259,False,
tsmixer,False,True,False,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,606.1835918627656,572.9518591211994,600.1086975478967,593.081382843954,14.448168954644027,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,497.78299796959607,562.1409099073303,522.9495622917535,527.6244900562266,26.481143221149768,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,491.4141714389838,519.4359695179093,508.3134935964182,506.38787818443706,11.520598593538516,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,494.96545827259484,484.49843776030826,510.9404973188255,496.80146445057625,10.872712554471178,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,484.0941576426489,528.29313515202,415.9736980685131,476.1203302877273,46.199570190666904,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,485.50162653581845,506.392670241566,598.7179867763433,530.2040945179092,49.19162531081279,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,489.16515852769675,576.4624582205331,567.8947653321533,544.507460693461,39.28892250251096,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,490.603969830279,706.0539016295294,456.03130102040814,550.8963908267389,110.61707892861091,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,647.2736711266141,424.1402798313203,504.1864949500208,525.2001486359851,92.29773492583627,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,411.8809958090379,498.13847134006664,410.75692836318206,440.2587985040955,40.929681793738204,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,472.1410427946689,631.7033264785506,612.9553170553936,572.2665621095376,71.2119450555257,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,515.0563025822574,633.1680787952937,718.8855686432736,622.3699833402749,83.56251781285236,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,562.7907938098708,564.4283259579341,618.0326652957101,581.7505950211716,25.664006512869253,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,529.6715350374844,624.3776707621826,663.7627383121617,605.9373147039429,56.27401856143263,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,619.255031627447,642.7907945907955,457.2631839598085,573.1030033926836,82.47274644490172,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,500.61875924094136,507.5182791024573,601.7176279414826,536.6182220949604,46.11832842271079,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,473.9705148896293,542.3380888171596,657.7666447573928,558.0250828213939,75.8499205636086,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,548.6750882444815,468.447134136818,546.0155298573511,521.0459174128836,37.20880105831164,False,
tsmixer,False,True,False,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,515.6038318669305,514.6458648740108,554.4064218034152,528.2187061814521,18.521640717684573,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,586.6408587567681,499.2863857507289,473.0318789046231,519.6530411373734,48.565080489929684,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,542.9691584235736,590.605080044773,497.6845937890462,543.7529440857976,37.93867799026397,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,521.4264508277801,443.5784947678051,524.6760046595169,496.5603167517008,37.48728669452476,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,500.001185183257,592.6707797532279,483.1342194658476,525.2687281341108,48.15531161410722,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,479.64854617867553,412.5180398792171,370.6661949448147,420.9442603342357,44.88904182152984,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,566.5137874843815,486.35122618179923,582.0575370939192,544.9741835867,41.935588618368904,False,
