"date","inc7"
2020-01-25,NA
2020-02-01,2.82842712474619
2020-02-08,2.23606797749979
2020-02-15,1.73205080756888
2020-02-22,0
2020-02-29,7.07106781186548
2020-03-07,27
2020-03-14,54.7722557505166
2020-03-21,113.432799489389
2020-03-28,178.661691473018
2020-04-04,192.862645424146
2020-04-11,178.549712965325
2020-04-18,140.644943030313
2020-04-25,122.470404588211
2020-05-02,96.2548700066651
2020-05-09,82.7526434623088
2020-05-16,72.2564875980005
2020-05-23,63.8592201643584
2020-05-30,57.8446194559183
2020-06-06,49.8196748283246
2020-06-13,48.4148737476408
2020-06-20,55.7942649382533
2020-06-27,64.0936814358483
2020-07-04,53.4134814442946
2020-07-11,49.598387070549
2020-07-18,53.0659966456864
2020-07-25,59.9332962550868
2020-08-01,68.47627326308
2020-08-08,75.385675031799
2020-08-15,86.5563400335296
2020-08-22,96.1977130705299
2020-08-29,94.3610088966836
2020-09-05,89.5041898460625
2020-09-12,97.3806962390391
2020-09-19,107.656862298694
